Fonte	Region	Class	Country .interpreted.	County	Scientific name	Longitude	Latitude
GBIF	America	AMERICAN	United States	Santa Barbara	Onthophagus taurus	-120.042	34.677
GBIF	America	AMERICAN	United States	Santa Barbara	Onthophagus taurus	-120.140	34.486
GBIF	America	AMERICAN	United States	Marion	Onthophagus taurus	-81.800	29.180
GBIF	America	AMERICAN	United States	Santa Barbara	Onthophagus taurus	-120.042	34.720
GBIF	America	AMERICAN	United States	Santa Barbara	Onthophagus taurus	-120.097	34.617
GBIF	America	AMERICAN	United States	Alachua	Onthophagus taurus	-82.300	29.650
Price, DL 2004	America	AMERICAN	United States	Somerset Country, Franklin Township, New Jersey	Onthophagus taurus	-74.850	40.280
GBIF	America	AMERICAN	United States	Santa Barbara	Onthophagus taurus	-120.141	34.478
GBIF	America	AMERICAN	United States	Tift	Onthophagus taurus	-83.500	31.470
Moczek 2003	America	AMERICAN	United States	Florence, South Carolina	Onthophagus taurus	-79.760	34.200
BugGuide.net	America	AMERICAN	United States	Macon County, North Carolina	Onthophagus taurus	-78.080	36.440
Moczek 2003	America	AMERICAN	United States	Durham, North Carolina	Onthophagus taurus	-121.800	39.650
GBIF	America	AMERICAN	United States	Riverside	Onthophagus taurus	-116.806	33.724
GBIF	America	AMERICAN	United States	Harris	Onthophagus taurus	-84.700	32.840
GBIF	America	AMERICAN	United States	San Diego	Onthophagus taurus	-116.973	32.833
MacRae & Penn 2001	America	AMERICAN	United States	Sacramento, California	Onthophagus taurus	-121.490	40.630
Moczek 2003	America	AMERICAN	United States	Brunswick, Georgia	Onthophagus taurus	-81.490	31.150
GBIF	America	AMERICAN	United States	Thomas	Onthophagus taurus	-83.900	30.700
Price, DL 2004	America	AMERICAN	United States	Middlesex County, New Brunswick	Onthophagus taurus	-74.450	40.490
Moczek 2003	America	AMERICAN	United States	Sylvania, Georgia	Onthophagus taurus	-81.636	32.750
BugGuide.net	America	AMERICAN	United States	Lancaster County, Pennsylvania	Onthophagus taurus	-76.310	40.040
MacRae & Penn 2001	America	AMERICAN	United States	Auburn, California	Onthophagus taurus	-121.080	38.900
Moczek 2003	America	AMERICAN	United States	Knoxville, Tennesee	Onthophagus taurus	-84.580	35.450
Moczek 2003	America	AMERICAN	United States	Maxville, Florida	Onthophagus taurus	-82.010	30.200
Bertone et al. 2005	America	AMERICAN	United States	Goldsboro	Onthophagus taurus	-78.090	35.440
GBIF	America	AMERICAN	United States	Clarke	Onthophagus taurus	-83.300	33.960
Moczek 2003	America	AMERICAN	United States	Asheville, North Carolina	Onthophagus taurus	-82.550	35.600
Kaufman & Wood, 2012	America	AMERICAN	United States	Gainesville, Florida	Onthophagus taurus	-82.320	29.650
Vulinec & Eudy 1993	America	AMERICAN	United States	Santa Rosa, Florida	Onthophagus taurus	-86.230	30.400
Moczek 2003	America	AMERICAN	United States	Statesville, North Carolina	Onthophagus taurus	-80.890	35.780
GBIF	America	AMERICAN	United States	San Luis Obispo	Onthophagus taurus	-120.922	35.566
BugGuide.net	America	AMERICAN	United States	Hudson, Hillsborough County, New Hampshire	Onthophagus taurus	-71.900	43.110
Moczek unpublished	America	AMERICAN	United States	Bloomington, Indiana	Onthophagus taurus	-86.530	39.170
